company,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g
McDonald’s,Iced Coffee– Hazelnut (Medium),190.0,8.0,5.0,0.0,30.0,60.0,29.0,0.0,29.0,2.0
McDonald’s,Iced Coffee– Hazelnut (Large),270.0,11.0,7.0,0.0,40.0,85.0,43.0,0.0,43.0,2.0
McDonald’s,Iced Coffee– Regular (Small),140.0,5.0,3.5,0.0,20.0,40.0,22.0,0.0,22.0,1.0
McDonald’s,Iced Coffee– Regular (Medium),200.0,8.0,5.0,0.0,30.0,60.0,30.0,0.0,30.0,2.0
McDonald’s,Iced Coffee– Regular (Large),280.0,11.0,7.0,0.0,40.0,85.0,45.0,0.0,45.0,2.0
McDonald’s,Iced Coffee– Vanilla (Small),130.0,5.0,3.5,0.0,20.0,40.0,21.0,0.0,21.0,1.0
McDonald’s,Iced Coffee– Vanilla (Medium),190.0,8.0,5.0,0.0,30.0,60.0,29.0,0.0,28.0,2.0
McDonald’s,Iced Coffee– Vanilla (Large),270.0,11.0,7.0,0.0,40.0,80.0,43.0,0.0,43.0,2.0
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Small),60.0,5.0,3.5,0.0,20.0,70.0,8.0,0.0,1.0,1.0
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Medium),90.0,8.0,5.0,0.0,30.0,100.0,11.0,0.0,2.0,2.0
McDonald’s,Iced Coffee with Sugar Free Vanilla Syrup (Large),120.0,11.0,7.0,0.0,40.0,140.0,16.0,0.0,2.0,2.0
McDonald’s,Sweet Tea (Child),110.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0,27.0,0.0
McDonald’s,Sweet Tea (Large),280.0,0.0,0.0,0.0,0.0,15.0,69.0,0.0,69.0,1.0
McDonald’s,Sweet Tea (Medium),180.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,45.0,1.0
McDonald’s,Sweet Tea (Small),150.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,36.0,1.0
McDonald’s,Nonfat Cappuccino (Small),60.0,0.0,0.0,0.0,5.0,85.0,9.0,0.0,9.0,6.0
McDonald’s,Nonfat Cappuccino (Medium),80.0,0.0,0.0,0.0,5.0,110.0,12.0,0.0,12.0,8.0
