,Title,Rating,directors,actors,voter_count,years,link
185,Wild Strawberries,8.1,Ingmar Bergman ,"[' Victor Sjöström', ' Bibi Andersson']","108,888",1957,https://www.imdb.com/title/tt0050986/
186,The General,8.1,Clyde Bruckman ,"[' Buster Keaton', ' Marion Mack']","92,915",1926,https://www.imdb.com/title/tt0017925/
187,The Third Man,8.1,Carol Reed ,"[' Orson Welles', ' Joseph Cotten']","173,736",1949,https://www.imdb.com/title/tt0041959/
188,In the Name of the Father,8.1,Jim Sheridan ,"[' Daniel Day-Lewis', ' Pete Postlethwaite']","178,035",1993,https://www.imdb.com/title/tt0107207/
189,Barry Lyndon,8.1,Stanley Kubrick ,"["" Ryan O'Neal"", ' Marisa Berenson']","171,539",1975,https://www.imdb.com/title/tt0072684/
190,The Deer Hunter,8.1,Michael Cimino ,"[' Robert De Niro', ' Christopher Walken']","343,489",1978,https://www.imdb.com/title/tt0077416/
191,Hacksaw Ridge,8.1,Mel Gibson ,"[' Andrew Garfield', ' Sam Worthington']","538,576",2016,https://www.imdb.com/title/tt2119532/
192,The Wages of Fear,8.1,Henri-Georges Clouzot ,"[' Yves Montand', ' Charles Vanel']","62,531",1953,https://www.imdb.com/title/tt0046268/
193,Memories of Murder,8.1,Bong Joon Ho ,"[' Song Kang-ho', ' Kim Sang-kyung']","190,854",2003,https://www.imdb.com/title/tt0353969/
194,Sherlock Jr.,8.1,Buster Keaton ,"[' Buster Keaton', ' Kathryn McGuire']","51,426",1924,https://www.imdb.com/title/tt0015324/
195,Wild Tales,8.1,Damián Szifron ,"[' Darío Grandinetti', ' María Marull']","202,330",2014,https://www.imdb.com/title/tt3011894/
196,Mr. Smith Goes to Washington,8.1,Frank Capra ,"[' James Stewart', ' Jean Arthur']","116,776",1939,https://www.imdb.com/title/tt0031679/
197,Mad Max: Fury Road,8.1,George Miller ,"[' Tom Hardy', ' Charlize Theron']","1,016,700",2015,https://www.imdb.com/title/tt1392190/
198,Mary and Max,8.1,Adam Elliot ,"[' Toni Collette', ' Philip Seymour Hoffman']","179,381",2009,https://www.imdb.com/title/tt0978762/
199,The Seventh Seal,8.1,Ingmar Bergman ,"[' Max von Sydow', ' Gunnar Björnstrand']","187,907",1957,https://www.imdb.com/title/tt0050976/
200,How to Train Your Dragon,8.1,Dean DeBlois ,"[' Jay Baruchel', ' Gerard Butler']","750,956",2010,https://www.imdb.com/title/tt0892769/
